protein,group
1ATP,PKA
1BX6,PKA
1CDK,PKA
1CMK,PKA
1J3H,PKA
1L3R,PKA
2C1A,PKA
2CPK,PKA
3NX8,PKA
3TNQ,PKA
4UJ1,PKA
4XW5,PKA
4YXS,PKA
5O5M,PKA
5UZK,PKA
5VHB,PKA
3.00E+87,PKB
1GZK,PKB
1GZO,PKB
1MRV,PKB
1O6K,PKB
2JDO,PKB
2UW9,PKB
2X39,PKB
3CQU,PKB
3D0E,PKB
3MV5,PKB
3O96,PKB
3OCB,PKB
3QKK,PKB
4EJN,PKB
4EKK,PKB
4GV1,PKB
5KCV,PKB
6CCY,PKB
1A25,PKC
1DSY,PKC
1GMI,PKC
2FK9,PKC
2NCE,PKC
3GPE,PKC
3RDJ,PKC
4L1L,PKC
5W4S,PKC
